university,city,rating_source,rating_year,rating_position,rank_percentile,difficulty_index
1 Московский государственный университет имени М.В. Ломоносова 1 4.7115 1 2 1,,RAEX,2024,1,0.0,100
Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет),,RAEX,2024,2,0.010101010101010102,99
Московский физико-технический институт (национальный исследовательский университет),,RAEX,2024,3,0.020202020202020204,98
Санкт-Петербургский государственный университет,Санкт-Петербург,RAEX,2024,4,0.030303030303030304,97
Национальный исследовательский ядерный университет «МИФИ»,,RAEX,2024,5,0.04040404040404041,96
"Национальный исследовательский университет ""Высшая школа экономики""",,RAEX,2024,6,0.050505050505050504,95
МГИМО МИД России,,RAEX,2024,7,0.06060606060606061,94
Санкт-Петербургский политехнический университет Петра Великого,Санкт-Петербург,RAEX,2024,8,0.0707070707070707,93
Национальный исследовательский Томский политехнический университет,Томск,RAEX,2024,9,0.08080808080808081,92
Российская академия народного хозяйства и государственной службы при Президенте РФ,,RAEX,2024,10,0.09090909090909091,91
Уральский федеральный университет имени первого Президента России Б.Н. Ельцина,,RAEX,2024,11,0.10101010101010101,90
Финансовый университет при Правительстве РФ,,RAEX,2024,12,0.1111111111111111,89
Университет ИТМО,,RAEX,2024,13,0.12121212121212122,88
Новосибирский национальный исследовательский государственный университет,Новосибирск,RAEX,2024,14,0.13131313131313133,87
Первый Московский государственный медицинский университет имени И.М. Сеченова Минздрава России,,RAEX,2024,15,0.1414141414141414,86
Российский экономический университет имени Г.В. Плеханова,,RAEX,2024,16,0.15151515151515152,85
Университет МИСИС,,RAEX,2024,17,0.16161616161616163,84
Российский университет дружбы народов имени Патриса Лумумбы,,RAEX,2024,18,0.1717171717171717,83
Национальный исследовательский Томский государственный университет,Томск,RAEX,2024,19,0.18181818181818182,82
Казанский (Приволжский) федеральный университет,,RAEX,2024,20,0.1919191919191919,81
Российский национальный исследовательский медицинский университет имени Н.И. Пирогова Минздрава России,,RAEX,2024,21,0.20202020202020202,80
Московский авиационный институт (национальный исследовательский университет),,RAEX,2024,22,0.21212121212121213,79
Сибирский федеральный университет,,RAEX,2024,23,0.2222222222222222,78
"Национальный исследовательский университет ""МЭИ""",,RAEX,2024,24,0.23232323232323232,77
Дальневосточный федеральный университет,,RAEX,2024,25,0.24242424242424243,76
Московский государственный юридический университет имени О.Е. Кутафина (МГЮА),,RAEX,2024,26,0.25252525252525254,75
Первый Санкт-Петербургский государственный медицинский университет имени академика И.П. Павлова Минздрава России,Санкт-Петербург,RAEX,2024,27,0.26262626262626265,74
Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина,,RAEX,2024,28,0.2727272727272727,73
Санкт-Петербургский горный университет императрицы Екатерины II,Санкт-Петербург,RAEX,2024,29,0.2828282828282828,72
Южный федеральный университет,,RAEX,2024,30,0.29292929292929293,71
Московский педагогический государственный университет,,RAEX,2024,31,0.30303030303030304,70
Национальный исследовательский Московский государственный строительный университет,,RAEX,2024,32,0.31313131313131315,69
Московский государственный лингвистический университет,,RAEX,2024,33,0.32323232323232326,68
Национальный исследовательский Нижегородский государственный университет имени Н.И. Лобачевского,,RAEX,2024,34,0.3333333333333333,67
Всероссийская академия внешней торговли Министерства экономического развития РФ,,RAEX,2024,35,0.3434343434343434,66
Российский государственный педагогический университет имени А. И. Герцена,,RAEX,2024,36,0.35353535353535354,65
"Санкт-Петербургский государственный электротехнический университет ""ЛЭТИ"" имени В.И. Ульянова (Ленина)",Санкт-Петербург,RAEX,2024,37,0.36363636363636365,64
Санкт-Петербургский государственный экономический университет,Санкт-Петербург,RAEX,2024,38,0.37373737373737376,63
Белгородский государственный национальный исследовательский университет,,RAEX,2024,39,0.3838383838383838,62
Новосибирский государственный технический университет,Новосибирск,RAEX,2024,40,0.3939393939393939,61
Российский химико-технологический университет имени Д.И. Менделеева,,RAEX,2024,41,0.40404040404040403,60
Национальный медицинский исследовательский центр имени В.А. Алмазова,,RAEX,2024,42,0.41414141414141414,59
Российский государственный аграрный университет – МСХА имени К.А. Тимирязева,,RAEX,2024,43,0.42424242424242425,58
Казанский государственный медицинский университет Минздрава России,,RAEX,2024,44,0.43434343434343436,57
Самарский национальный исследовательский университет имени академика С.П. Королёва,,RAEX,2024,45,0.4444444444444444,56
Воронежский государственный университет,Воронеж,RAEX,2024,46,0.45454545454545453,55
Уфимский государственный нефтяной технический университет,,RAEX,2024,47,0.46464646464646464,54
Санкт-Петербургский государственный архитектурно-строительный университет,Санкт-Петербург,RAEX,2024,48,0.47474747474747475,53
Южно-Уральский государственный университет (национальный исследовательский университет),,RAEX,2024,49,0.48484848484848486,52
МИРЭА - Российский технологический университет,,RAEX,2024,50,0.494949494949495,51
Тюменский государственный университет,,RAEX,2024,51,0.5050505050505051,49
Ставропольский государственный аграрный университет,,RAEX,2024,52,0.5151515151515151,48
Самарский государственный медицинский университет Минздрава России,,RAEX,2024,53,0.5252525252525253,47
Российский государственный гуманитарный университет,,RAEX,2024,54,0.5353535353535354,46
Московский городской педагогический университет,,RAEX,2024,55,0.5454545454545454,45
Северо-Восточный федеральный университет имени М.К. Аммосова,,RAEX,2024,56,0.5555555555555556,44
"Московский государственный технологический университет ""СТАНКИН""",,RAEX,2024,57,0.5656565656565656,43
Государственный университет просвещения,,RAEX,2024,58,0.5757575757575758,42
Санкт-Петербургский государственный педиатрический медицинский университет Минздрава России,Санкт-Петербург,RAEX,2024,59,0.5858585858585859,41
Южно-Российский государственный политехнический университет (НПИ) имени М.И. Платова,,RAEX,2024,60,0.5959595959595959,40
Томский государственный университет систем управления и радиоэлектроники,Томск,RAEX,2024,61,0.6060606060606061,39
Балтийский федеральный университет имени Иммануила Канта,,RAEX,2024,62,0.6161616161616161,38
Алтайский государственный университет,,RAEX,2024,63,0.6262626262626263,37
Белгородский государственный технологический университет имени В.Г. Шухова,,RAEX,2024,64,0.6363636363636364,36
Северо-Западный государственный медицинский университет имени И.И. Мечникова Минздрава России,,RAEX,2024,65,0.6464646464646465,35
Рязанский государственный медицинский университет имени академика И.П. Павлова Минздрава России,,RAEX,2024,66,0.6565656565656566,34
Донской государственный технический университет,,RAEX,2024,67,0.6666666666666666,33
Северо-Кавказский федеральный университет,,RAEX,2024,68,0.6767676767676768,32
Сибирский государственный медицинский университет Минздрава России,,RAEX,2024,69,0.6868686868686869,31
"Государственный университет ""Дубна""",,RAEX,2024,70,0.696969696969697,30
Приволжский исследовательский медицинский университет Минздрава России,,RAEX,2024,71,0.7070707070707071,29
Курский государственный медицинский университет Минздрава России,,RAEX,2024,72,0.7171717171717171,28
Самарский государственный технический университет,,RAEX,2024,73,0.7272727272727273,27
Казанский национальный исследовательский технологический университет,,RAEX,2024,74,0.7373737373737373,26
Башкирский государственный медицинский университет Минздрава России,,RAEX,2024,75,0.7474747474747475,25
Саратовский национальный исследовательский государственный университет имени Н.Г. Чернышевского,,RAEX,2024,76,0.7575757575757576,24
Национальный исследовательский университет «МИЭТ»,,RAEX,2024,77,0.7676767676767676,23
Технологический университет (г. Королёв),,RAEX,2024,78,0.7777777777777778,22
Государственный университет управления,,RAEX,2024,79,0.7878787878787878,21
Государственный гуманитарно-технологический университет,,RAEX,2024,80,0.797979797979798,20
Государственный социально-гуманитарный университет,,RAEX,2024,81,0.8080808080808081,19
Волгоградский государственный университет,Волгоград,RAEX,2024,82,0.8181818181818182,18
Тюменский индустриальный университет,,RAEX,2024,83,0.8282828282828283,17
Волгоградский государственный технический университет,Волгоград,RAEX,2024,84,0.8383838383838383,16
Волгоградский государственный медицинский университет Минздрава России,Волгоград,RAEX,2024,85,0.8484848484848485,15
Воронежский государственный медицинский университет имени Н.Н. Бурденко Минздрава России,Воронеж,RAEX,2024,86,0.8585858585858586,14
Московский политехнический университет,,RAEX,2024,87,0.8686868686868687,13
Красноярский государственный медицинский университет имени профессора В.Ф. Войно-Ясенецкого Минздрава России,Красноярск,RAEX,2024,88,0.8787878787878788,12
Иркутский национальный исследовательский технический университет,Иркутск,RAEX,2024,89,0.8888888888888888,11
Кубанский государственный аграрный университет имени И.Т. Трубилина,,RAEX,2024,90,0.898989898989899,10
Саратовский государственный медицинский университет имени В.И. Разумовского,,RAEX,2024,91,0.9090909090909091,9
Петрозаводский государственный университет,,RAEX,2024,92,0.9191919191919192,8
Санкт-Петербургский государственный морской технический университет,Санкт-Петербург,RAEX,2024,93,0.9292929292929293,7
Московский автомобильно-дорожный государственный технический университет (МАДИ),,RAEX,2024,94,0.9393939393939394,6
Уфимский университет науки и технологий,,RAEX,2024,95,0.9494949494949495,5
Курский государственный университет,,RAEX,2024,96,0.9595959595959596,4
Российский новый университет (РосНОУ),,RAEX,2024,97,0.9696969696969697,3
Московский технический университет связи и информатики,,RAEX,2024,98,0.9797979797979798,2
Кабардино-Балкарский государственный университет имени Х.М. Бербекова,,RAEX,2024,99,0.98989898989899,1
Уральский государственный медицинский университет Минздрава России,,RAEX,2024,100,1.0,0
Туризм,,Interfax NRU,2025,1,0.0,100
Недвижимость,,Interfax NRU,2025,2,0.045454545454545456,95
Образование,,Interfax NRU,2025,3,0.09090909090909091,91
Новости,,Interfax NRU,2025,8,0.13636363636363635,86
Аналитика,,Interfax NRU,2025,10,0.18181818181818182,82
Интервью,,Interfax NRU,2025,11,0.22727272727272727,77
Пресс-релизы,,Interfax NRU,2025,12,0.2727272727272727,73
Развитие,,Interfax NRU,2025,17,0.3181818181818182,68
Международное сотрудничество,,Interfax NRU,2025,18,0.36363636363636365,64
Госэкзамены,,Interfax NRU,2025,19,0.4090909090909091,59
Об «Интерфаксе»,,Interfax NRU,2025,33,0.45454545454545453,55
Подписка,,Interfax NRU,2025,34,0.5,50
Контакты,,Interfax NRU,2025,35,0.5454545454545454,45
Реклама на сайте,,Interfax NRU,2025,36,0.5909090909090909,41
Все рубрики,,Interfax NRU,2025,37,0.6363636363636364,36
Национальный рейтинг университетов,,Interfax NRU,2025,43,0.6818181818181818,32
Национальныйрейтинг университетов за 2025 годСводный список участников в порядке занятых позиций,,Interfax NRU,2025,54,0.7272727272727273,27
2025 год,,Interfax NRU,2025,56,0.7727272727272727,23
Условия использования информации,,Interfax NRU,2025,106,0.8181818181818182,18
Запрещено для детей,,Interfax NRU,2025,107,0.8636363636363636,14
Политика обработки персональных данных,,Interfax NRU,2025,108,0.9090909090909091,9
Выходные данные,,Interfax NRU,2025,109,0.9545454545454546,5
Дизайн – Motka.ru,,Interfax NRU,2025,110,1.0,0
Туризм,,Interfax NRU,2024,1,0.0,100
Недвижимость,,Interfax NRU,2024,2,0.045454545454545456,95
Образование,,Interfax NRU,2024,3,0.09090909090909091,91
Новости,,Interfax NRU,2024,8,0.13636363636363635,86
Аналитика,,Interfax NRU,2024,10,0.18181818181818182,82
Интервью,,Interfax NRU,2024,11,0.22727272727272727,77
Пресс-релизы,,Interfax NRU,2024,12,0.2727272727272727,73
Развитие,,Interfax NRU,2024,17,0.3181818181818182,68
Международное сотрудничество,,Interfax NRU,2024,18,0.36363636363636365,64
Госэкзамены,,Interfax NRU,2024,19,0.4090909090909091,59
Об «Интерфаксе»,,Interfax NRU,2024,33,0.45454545454545453,55
Подписка,,Interfax NRU,2024,34,0.5,50
Контакты,,Interfax NRU,2024,35,0.5454545454545454,45
Реклама на сайте,,Interfax NRU,2024,36,0.5909090909090909,41
Все рубрики,,Interfax NRU,2024,37,0.6363636363636364,36
Национальный рейтинг университетов,,Interfax NRU,2024,43,0.6818181818181818,32
Национальныйрейтинг университетов за 2025 годСводный список участников в порядке занятых позиций,,Interfax NRU,2024,54,0.7272727272727273,27
2025 год,,Interfax NRU,2024,56,0.7727272727272727,23
Условия использования информации,,Interfax NRU,2024,106,0.8181818181818182,18
Запрещено для детей,,Interfax NRU,2024,107,0.8636363636363636,14
Политика обработки персональных данных,,Interfax NRU,2024,108,0.9090909090909091,9
Выходные данные,,Interfax NRU,2024,109,0.9545454545454546,5
Дизайн – Motka.ru,,Interfax NRU,2024,110,1.0,0
